Block,Foreperiod,Location,NumRep,_theme,acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,bidi,break_if,canvas_backend,clock_backend,color_backend,cols,column_order,compensation,coordinates,correct,correct_GetResponse,correct_response,count_Block_1,count_Block_2,count_Block_3,count_Block_4,count_Block_5,count_ClearScreen,count_Feedback,count_Feedback_Final,count_Fixation,count_GetResponse,count_Instructions1,count_LogData,count_PreTrialWait,count_SingleTrial,count_Stimulus,count_experiment,cycles,description,duration,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,margins,mouse_backend,offset,ok_text,only_render,order,repeat,repeat_cycle,reset_variables,response,response_Feedback,response_Feedback_Final,response_GetResponse,response_time,response_time_Feedback,response_time_Feedback_Final,response_time_GetResponse,rows,sampler_backend,show_cursor,skip,spacing,start,subject_nr,subject_parity,synth_backend,time_Block_1,time_Block_2,time_Block_3,time_Block_4,time_Block_5,time_ClearScreen,time_Feedback,time_Feedback_Final,time_Fixation,time_GetResponse,time_Instructions1,time_LogData,time_PreTrialWait,time_SingleTrial,time_Stimulus,time_experiment,timeout,title,uniform_coordinates,width
"1","1600","-150","15","NA","100","100","NA","yes","315","315","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","315","NA","NA","315","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","33682","NA","NA","31760","33362","3132","33682","30258","30256","33362","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","100","100","NA","yes","304","304","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","1","NA","NA","1","1","0","1","1","1","1","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","293","NA","NA","293","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","37209","NA","NA","35711","36913","3132","37209","34209","34207","36913","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","309","309","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","2","NA","NA","2","2","0","2","2","2","2","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","319","NA","NA","319","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","39929","NA","NA","39206","39608","3132","39929","37704","37701","39608","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","309","309","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","3","NA","NA","3","3","0","3","3","3","3","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","310","NA","NA","310","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","42641","NA","NA","41926","42328","3132","42641","40423","40421","42328","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","100","100","NA","yes","294","294","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","4","NA","NA","4","4","0","4","4","4","4","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","233","NA","NA","233","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","45681","NA","NA","44643","45445","3132","45681","43141","43139","45445","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","100","100","NA","yes","289","289","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","5","NA","NA","5","5","0","5","5","5","5","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","268","NA","NA","268","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","49145","NA","NA","47671","48874","3132","49145","46169","46166","48874","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","100","100","NA","yes","280","280","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","6","NA","NA","6","6","0","6","6","6","6","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","222","NA","NA","222","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","52153","NA","NA","51126","51928","3132","52153","49624","49622","51928","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","800","-150","15","NA","100","100","NA","yes","274","274","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","7","NA","NA","7","7","0","7","7","7","7","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","232","NA","NA","232","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","55185","NA","NA","54148","54950","3132","55185","52646","52643","54950","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","272","272","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","8","NA","NA","8","8","0","8","8","8","8","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","259","NA","NA","259","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","57842","NA","NA","57178","57580","3132","57842","55676","55674","57580","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","400","-150","15","NA","100","100","NA","yes","273","273","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","9","NA","NA","9","9","0","9","9","9","9","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","284","NA","NA","284","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","60529","NA","NA","59840","60242","3132","60529","58337","58335","60242","3132","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","-150","15","NA","100","100","NA","yes","276","276","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","10","NA","NA","10","10","0","10","10","10","10","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","309","NA","NA","309","NA","legacy","NA","NA","NA","experiment","2240173","odd","legacy","29764","NA","NA","NA","NA","64439","NA","NA","62525","64127","3132","64439","61023","61021","64127","3132","NA","CogMod 2015 Experiment","yes","1024"
