"Block","Foreperiod","Location","NumRep","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_GetResponse","correct_response","count_Block_1","count_Block_2","count_Block_3","count_Block_4","count_Block_5","count_ClearScreen","count_Feedback","count_Feedback_Final","count_Fixation","count_GetResponse","count_Instructions1","count_LogData","count_PreTrialWait","count_SingleTrial","count_Stimulus","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Feedback","response_Feedback_Final","response_GetResponse","response_time","response_time_Feedback","response_time_Feedback_Final","response_time_GetResponse","sampler_backend","start","subject_nr","subject_parity","synth_backend","time_Block_1","time_Block_2","time_Block_3","time_Block_4","time_Block_5","time_ClearScreen","time_Feedback","time_Feedback_Final","time_Fixation","time_GetResponse","time_Instructions1","time_LogData","time_PreTrialWait","time_SingleTrial","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","1200","150","15","0","0","2000","2000","white","no","xpyriment","legacy","legacy","0","uniform","0","0","m","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","None","NA","NA","None","2000","NA","NA","2000","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","65743","NA","NA","62388","63589","1605","65743","60317","60316","63589","1605","CogMod 2015 Experiment","0","2000","1","yes","1024"
"1","1200","150","15","50","50","1193","1193","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","1","NA","NA","1","1","0","1","1","1","1","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","386","NA","NA","386","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","69956","NA","NA","68369","69569","1605","69956","66869","66868","69569","1605","CogMod 2015 Experiment","1","2386","2","yes","1024"
"1","800","150","15","66.6666666667","66.6666666667","924","924","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","2","NA","NA","2","2","0","2","2","2","2","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","388","NA","NA","388","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","73832","NA","NA","72643","73443","1605","73832","71143","71142","73443","1605","CogMod 2015 Experiment","2","2774","3","yes","1024"
"1","1600","-150","15","75","75","758","758","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","3","NA","NA","3","3","0","3","3","3","3","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","z","NA","NA","z","261","NA","NA","261","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","78359","NA","NA","76497","78097","1605","78359","74997","74997","78097","1605","CogMod 2015 Experiment","3","3035","4","yes","1024"
"1","1200","-150","15","80","80","676","676","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","4","NA","NA","4","4","0","4","4","4","4","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","z","NA","NA","z","345","NA","NA","345","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","82555","NA","NA","81009","82209","1605","82555","79509","79508","82209","1605","CogMod 2015 Experiment","4","3380","5","yes","1024"
"1","1600","-150","15","83.3333333333","83.3333333333","609","609","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","5","NA","NA","5","5","0","5","5","5","5","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","z","NA","NA","z","277","NA","NA","277","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","87065","NA","NA","85187","86787","1605","87066","83687","83687","86787","1605","CogMod 2015 Experiment","5","3657","6","yes","1024"
"1","800","150","15","85.7142857143","85.7142857143","564","564","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","6","NA","NA","6","6","0","6","6","6","6","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","293","NA","NA","293","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","90833","NA","NA","89739","90539","1605","90833","88239","88238","90539","1605","CogMod 2015 Experiment","6","3950","7","yes","1024"
"1","400","150","15","87.5","87.5","534","534","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","7","NA","NA","7","7","0","7","7","7","7","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","328","NA","NA","328","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","94109","NA","NA","93380","93780","1605","94109","91880","91880","93780","1605","CogMod 2015 Experiment","7","4278","8","yes","1024"
"1","1600","150","15","88.8888888889","88.8888888889","505","505","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","8","NA","NA","8","8","0","8","8","8","8","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","271","NA","NA","271","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","98626","NA","NA","96754","98354","1605","98626","95253","95253","98354","1605","CogMod 2015 Experiment","8","4549","9","yes","1024"
"1","400","150","15","90","90","488","488","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","9","NA","NA","9","9","0","9","9","9","9","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","332","NA","NA","332","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","102007","NA","NA","101274","101674","1605","102007","99774","99773","101674","1605","CogMod 2015 Experiment","9","4881","10","yes","1024"
"1","1600","-150","15","90.9090909091","90.9090909091","467","467","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","10","NA","NA","10","10","0","10","10","10","10","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","z","NA","NA","z","264","NA","NA","264","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","106626","NA","NA","104761","106361","1605","106626","103260","103259","106361","1605","CogMod 2015 Experiment","10","5145","11","yes","1024"
"1","800","150","15","91.6666666667","91.6666666667","458","458","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","11","NA","NA","11","11","0","11","11","11","11","0","11/28/15 14:15:18","Default description","no","mono","no","18","black","Ok","768","legacy","W:/school/cognetive-modeling/simulationdata/subject-2423529.csv","xpyriment","Interactive Ising","3.0.3","0","m","NA","NA","m","356","NA","NA","356","legacy","experiment","2423529","odd","legacy","59231","NA","NA","NA","NA","110553","NA","NA","109396","110196","1605","110553","107896","107896","110196","1605","CogMod 2015 Experiment","11","5501","12","yes","1024"
