Block,Foreperiod,Location,NumRep,_theme,acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,bidi,break_if,canvas_backend,clock_backend,color_backend,cols,column_order,compensation,coordinates,correct,correct_GetResponse,correct_response,count_Block_1,count_Block_2,count_Block_3,count_Block_4,count_Block_5,count_ClearScreen,count_Feedback,count_Feedback_Final,count_Fixation,count_GetResponse,count_Instructions1,count_LogData,count_PreTrialWait,count_SingleTrial,count_Stimulus,count_experiment,cycles,description,duration,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,margins,mouse_backend,offset,ok_text,only_render,order,repeat,repeat_cycle,reset_variables,response,response_Feedback,response_Feedback_Final,response_GetResponse,response_time,response_time_Feedback,response_time_Feedback_Final,response_time_GetResponse,rows,sampler_backend,show_cursor,skip,spacing,start,subject_nr,subject_parity,synth_backend,time_Block_1,time_Block_2,time_Block_3,time_Block_4,time_Block_5,time_ClearScreen,time_Feedback,time_Feedback_Final,time_Fixation,time_GetResponse,time_Instructions1,time_LogData,time_PreTrialWait,time_SingleTrial,time_Stimulus,time_experiment,timeout,title,uniform_coordinates,width
"1","1600","-150","15","NA","100","100","NA","yes","417","417","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","417","NA","NA","417","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","19278","NA","NA","17249","18854","4649","19278","15744","15738","18854","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","377","377","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","1","NA","NA","1","1","0","1","1","1","1","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","338","NA","NA","338","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","21909","NA","NA","21161","21565","4649","21909","19657","19651","21565","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","150","15","NA","100","100","NA","yes","342","342","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","2","NA","NA","2","2","0","2","2","2","2","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","273","NA","NA","273","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","25269","NA","NA","23785","24990","4649","25269","22281","22275","24990","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","332","332","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","3","NA","NA","3","3","0","3","3","3","3","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","301","NA","NA","301","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","27853","NA","NA","27142","27546","4649","27853","25638","25633","27546","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","800","-150","15","NA","100","100","NA","yes","320","320","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","4","NA","NA","4","4","0","4","4","4","4","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","275","NA","NA","275","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","30813","NA","NA","29728","30532","4649","30813","28224","28218","30532","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","150","15","NA","100","100","NA","yes","310","310","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","5","NA","NA","5","5","0","5","5","5","5","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","260","NA","NA","260","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","34157","NA","NA","32687","33891","4649","34157","31183","31178","33891","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","100","100","NA","yes","321","321","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","6","NA","NA","6","6","0","6","6","6","6","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","387","NA","NA","387","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","37627","NA","NA","36030","37234","4649","37627","34526","34521","37234","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","100","100","NA","yes","313","313","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","7","NA","NA","7","7","0","7","7","7","7","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","259","NA","NA","259","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","40571","NA","NA","39502","40306","4649","40571","37998","37993","40306","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","317","317","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","8","NA","NA","8","8","0","8","8","8","8","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","344","NA","NA","344","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","43235","NA","NA","42481","42885","4649","43235","40977","40972","42885","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","-150","15","NA","100","100","NA","yes","310","310","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","9","NA","NA","9","9","0","9","9","9","9","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","246","NA","NA","246","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","46964","NA","NA","45108","46712","4649","46964","43604","43599","46712","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","150","15","NA","100","100","NA","yes","304","304","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","10","NA","NA","10","10","0","10","10","10","10","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","253","NA","NA","253","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","50698","NA","NA","48835","50440","4649","50699","47331","47326","50440","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","150","15","NA","100","100","NA","yes","302","302","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","11","NA","NA","11","11","0","11","11","11","11","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","282","NA","NA","282","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","54474","NA","NA","52583","54187","4649","54474","51079","51074","54187","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","150","15","NA","100","100","NA","yes","304","304","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","12","NA","NA","12","12","0","12","12","12","12","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","323","NA","NA","323","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","57898","NA","NA","56366","57570","4649","57898","54862","54857","57570","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","100","100","NA","yes","303","303","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","13","NA","NA","13","13","0","13","13","13","13","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","287","NA","NA","287","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","60874","NA","NA","59778","60582","4649","60874","58273","58268","60582","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","150","15","NA","100","100","NA","yes","301","301","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","14","NA","NA","14","14","0","14","14","14","14","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","279","NA","NA","279","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","64234","NA","NA","62745","63950","4649","64234","61241","61236","63950","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","100","100","NA","yes","301","301","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","15","NA","NA","15","15","0","15","15","15","15","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","297","NA","NA","297","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","66810","NA","NA","66103","66507","4649","66810","64599","64595","66507","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","100","100","NA","yes","300","300","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","16","NA","NA","16","16","0","16","16","16","16","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","285","NA","NA","285","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","70162","NA","NA","68667","69871","4649","70162","67163","67159","69871","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","100","100","NA","yes","303","303","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","17","NA","NA","17","17","0","17","17","17","17","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","363","NA","NA","363","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","73600","NA","NA","72028","73232","4649","73601","70523","70519","73232","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","150","15","NA","100","100","NA","yes","302","302","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","18","NA","NA","18","18","0","18","18","18","18","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","272","NA","NA","272","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","76945","NA","NA","75463","76667","4649","76945","73959","73954","76667","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","100","100","NA","yes","300","300","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","19","NA","NA","19","19","0","19","19","19","19","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","274","NA","NA","274","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","79888","NA","NA","78805","79609","4649","79888","77301","77297","79609","4648","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","150","15","NA","100","100","NA","yes","303","303","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","20","NA","NA","20","20","0","20","20","20","20","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","353","NA","NA","353","NA","legacy","NA","NA","NA","experiment","2847485","odd","legacy","15372","NA","NA","NA","NA","83712","NA","NA","81749","83353","4649","83712","80245","80241","83353","4648","NA","CogMod 2015 Experiment","yes","1024"
