"Block","Foreperiod","Location","NumRep","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_GetResponse","correct_response","count_Block_1","count_Block_2","count_Block_3","count_Block_4","count_Block_5","count_ClearScreen","count_Feedback","count_Feedback_Final","count_Fixation","count_GetResponse","count_Instructions1","count_LogData","count_PreTrialWait","count_SingleTrial","count_Stimulus","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Feedback","response_Feedback_Final","response_GetResponse","response_time","response_time_Feedback","response_time_Feedback_Final","response_time_GetResponse","sampler_backend","start","subject_nr","subject_parity","synth_backend","time_Block_1","time_Block_2","time_Block_3","time_Block_4","time_Block_5","time_ClearScreen","time_Feedback","time_Feedback_Final","time_Fixation","time_GetResponse","time_Instructions1","time_LogData","time_PreTrialWait","time_SingleTrial","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","1200","-150","15","100","100","699","699","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","699","NA","NA","699","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","45918","NA","NA","44011","45214","1620","45918","42509","42506","45213","1620","CogMod 2015 Experiment","1","699","1","yes","1024"
"1","1600","-150","15","100","100","539","539","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","1","NA","NA","1","1","0","1","1","1","1","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","379","NA","NA","379","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","49697","NA","NA","47710","49313","1620","49697","46207","46203","49312","1620","CogMod 2015 Experiment","2","1078","2","yes","1024"
"1","1200","150","15","100","100","487","487","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","2","NA","NA","2","2","0","2","2","2","2","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","384","NA","NA","384","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","53078","NA","NA","51486","52692","1620","53078","49983","49979","52692","1620","CogMod 2015 Experiment","3","1462","3","yes","1024"
"1","1600","-150","15","100","100","452","452","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","3","NA","NA","3","3","0","3","3","3","3","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","349","NA","NA","349","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","56826","NA","NA","54868","56472","1620","56826","53364","53359","56472","1620","CogMod 2015 Experiment","4","1811","4","yes","1024"
"1","800","150","15","100","100","424","424","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","4","NA","NA","4","4","0","4","4","4","4","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","312","NA","NA","312","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","59747","NA","NA","58631","59433","1620","59747","57124","57120","59433","1620","CogMod 2015 Experiment","5","2123","5","yes","1024"
"1","400","-150","15","100","100","406","406","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","5","NA","NA","5","5","0","5","5","5","5","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","318","NA","NA","318","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","62261","NA","NA","61535","61938","1620","62261","60032","60028","61938","1620","CogMod 2015 Experiment","6","2441","6","yes","1024"
"1","1600","150","15","100","100","391","391","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","6","NA","NA","6","6","0","6","6","6","6","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","298","NA","NA","298","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","65965","NA","NA","64060","65663","1620","65965","62545","62541","65663","1620","CogMod 2015 Experiment","7","2739","7","yes","1024"
"1","800","-150","15","100","100","378","378","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","7","NA","NA","7","7","0","7","7","7","7","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","288","NA","NA","288","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","68855","NA","NA","67759","68563","1620","68855","66257","66251","68563","1620","CogMod 2015 Experiment","8","3027","8","yes","1024"
"1","800","150","15","100","100","370","370","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","8","NA","NA","8","8","0","8","8","8","8","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","303","NA","NA","303","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","71784","NA","NA","70675","71477","1620","71784","69165","69161","71477","1620","CogMod 2015 Experiment","9","3330","9","yes","1024"
"1","1200","150","15","100","100","368","368","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","9","NA","NA","9","9","0","9","9","9","9","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","357","NA","NA","357","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","75137","NA","NA","73573","74776","1620","75137","72069","72066","74776","1620","CogMod 2015 Experiment","10","3687","10","yes","1024"
"1","1200","150","15","100","100","365","365","white","no","xpyriment","legacy","legacy","0","uniform","1","1","m","0","0","0","0","0","10","NA","NA","10","10","0","10","10","10","10","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","m","NA","NA","m","338","NA","NA","338","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","78469","NA","NA","76924","78127","1620","78469","75422","75418","78127","1620","CogMod 2015 Experiment","11","4025","11","yes","1024"
"1","1200","-150","15","100","100","365","365","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","11","NA","NA","11","11","0","11","11","11","11","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","356","NA","NA","356","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","81828","NA","NA","80263","81467","1620","81828","78760","78755","81467","1620","CogMod 2015 Experiment","12","4381","12","yes","1024"
"1","400","-150","15","100","100","377","377","white","no","xpyriment","legacy","legacy","0","uniform","1","1","z","0","0","0","0","0","12","NA","NA","12","12","0","12","12","12","12","0","Fri 27 Nov 2015 19:52:26 CET","Default description","no","mono","no","18","black","Ok","768","legacy","/home/han/Desktop/subject-1971190.csv","xpyriment","Interactive Ising","3.0.2","0","z","NA","NA","z","530","NA","NA","530","legacy","experiment","1971190","even","legacy","42229","NA","NA","NA","NA","84555","NA","NA","83617","84020","1620","84555","82113","82108","84019","1620","CogMod 2015 Experiment","13","4911","13","yes","1024"
