Block,Foreperiod,Location,NumRep,_theme,acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,bidi,break_if,canvas_backend,clock_backend,color_backend,cols,column_order,compensation,coordinates,correct,correct_GetResponse,correct_response,count_Block_1,count_Block_2,count_Block_3,count_Block_4,count_Block_5,count_ClearScreen,count_Feedback,count_Feedback_Final,count_Fixation,count_GetResponse,count_Instructions1,count_LogData,count_PreTrialWait,count_SingleTrial,count_Stimulus,count_experiment,cycles,description,duration,flush,flush_keyboard,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,height,item,keyboard_backend,margins,mouse_backend,offset,ok_text,only_render,order,repeat,repeat_cycle,reset_variables,response,response_Feedback,response_Feedback_Final,response_GetResponse,response_time,response_time_Feedback,response_time_Feedback_Final,response_time_GetResponse,rows,sampler_backend,show_cursor,skip,spacing,start,subject_nr,subject_parity,synth_backend,time_Block_1,time_Block_2,time_Block_3,time_Block_4,time_Block_5,time_ClearScreen,time_Feedback,time_Feedback_Final,time_Fixation,time_GetResponse,time_Instructions1,time_LogData,time_PreTrialWait,time_SingleTrial,time_Stimulus,time_experiment,timeout,title,uniform_coordinates,width
"1","1600","-150","15","NA","0","0","NA","yes","2001","2001","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","0","0","z","0","0","0","0","0","0","NA","NA","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","None","NA","NA","None","2001","NA","NA","2001","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","55652","NA","NA","52047","53649","2859","55652","50544","50541","53649","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","1200","-150","15","NA","50","50","NA","yes","1309","1309","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","1","NA","NA","1","1","0","1","1","1","1","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","617","NA","NA","617","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","59405","NA","NA","57582","58785","2859","59405","56080","56078","58785","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","400","150","15","NA","66.6666666667","66.6666666667","NA","yes","1001","1001","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","2","NA","NA","2","2","0","2","2","2","2","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","387","NA","NA","387","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","62131","NA","NA","61339","61741","2859","62131","59837","59834","61741","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","75","75","NA","yes","812","812","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","3","NA","NA","3","3","0","3","3","3","3","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","244","NA","NA","244","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","65107","NA","NA","64058","64860","2859","65107","62556","62554","64860","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","400","-150","15","NA","80","80","NA","yes","703","703","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","4","NA","NA","4","4","0","4","4","4","4","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","270","NA","NA","270","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","67704","NA","NA","67029","67431","2859","67704","65527","65524","67431","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","1600","-150","15","NA","83.3333333333","83.3333333333","NA","yes","633","633","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","5","NA","NA","5","5","0","5","5","5","5","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","282","NA","NA","282","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","71509","NA","NA","69622","71224","2859","71509","68120","68117","71224","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","85.7142857143","85.7142857143","NA","yes","587","587","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","6","NA","NA","6","6","0","6","6","6","6","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","311","NA","NA","311","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","74556","NA","NA","73440","74242","2859","74557","71937","71935","74242","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","800","-150","15","NA","87.5","87.5","NA","yes","544","544","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","z","0","0","0","0","0","7","NA","NA","7","7","0","7","7","7","7","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","z","NA","NA","z","247","NA","NA","247","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","77538","NA","NA","76486","77288","2859","77538","74984","74981","77288","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","88.8888888889","88.8888888889","NA","yes","512","512","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","8","NA","NA","8","8","0","8","8","8","8","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","254","NA","NA","254","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","80529","NA","NA","79470","80272","2859","80529","77966","77964","80272","2858","NA","CogMod 2015 Experiment","yes","1024"
"1","800","150","15","NA","90","90","NA","yes","490","490","white","no","NA","xpyriment","legacy","legacy","NA","NA","0","uniform","1","1","m","0","0","0","0","0","9","NA","NA","9","9","0","9","9","9","9","0","NA","Logs experimental data","NA","NA","NA","no","mono","no","18","black","NA","NA","768","NA","legacy","NA","xpyriment","NA","NA","NA","NA","NA","0","NA","m","NA","NA","m","291","NA","NA","291","NA","legacy","NA","NA","NA","experiment","20066286","even","legacy","50122","NA","NA","NA","NA","83558","NA","NA","82462","83264","2859","83558","80960","80957","83264","2858","NA","CogMod 2015 Experiment","yes","1024"
